id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href
11,Bán gấp Kawasaki gpz400 1973,19.900.000 đ,22.08 tr,25.92 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Xe zin keng, rất đẹp, có giá trị trưng bày và sưu tầm cao, xem xe ở q1 hcm",Kawasaki,Dòng khác,trước năm 1980,99000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124982577.htm
12,SH Ý Zin,100.000.000 đ,23.67 tr,27.79 tr,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Ai có nhu cầu mua xe liên hệ sdt.
Xem xe trực tiếp quận 1,hcm",Honda,SH,2005,8000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124960442.htm
13,Bán xe Wolf 125cc,14.800.000 đ,13.62 tr,15.98 tr,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","- Tình trạng đồ zin còn 80%, có độ cafe nhẹ
- Máy êm, mạnh, nổ thì thầm
- Hệ thống đèn còi xi nhan còn hoạt động tốt
- Biển số tp, dễ nhìn
- Chia sẽ cho AE cùng đam mê
- Xem xe Quận 1 hoặc Tân Bình( buổi tối)
Cảm ơn chợ tốt đã duyệt tin.",SYM,Wolf,2016,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124945498.htm
14,Ex zin 2014 xuống áo Ngay chủ,18.500.000 đ,13.86 tr,16.27 tr,"Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh","Ex 2014 ,máy zin ,nhẹ ,xe xuống áo chuẩn .bstp.xe ngay mình đứng tên. Ae mau lẹ bớt lộc .lh 177 ky con phuong nguyên Thái Bình q.1
### Bạn nào có ab hoac lead trao đổi bù trừ tuy theo đời xe nhé ###",Yamaha,Exciter,2014,20000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124911093.htm
15,siêu lướt như mới dính pháp lý hôn nhân,37.000.000 đ,36.19 tr,42.49 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","Vario 160 2024
Xe nhà ít đi siêu lướt siêu mới
Dính pháp lý hôn nhân chính chủ ghi giấy tay kèm cccd",Honda,Vario,2024,900,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124901589.htm
16,Xe Vespa paggio xanh,6.000.000 đ,3.91 tr,4.59 tr,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",Cần bán xe vespa xanh ngọc như hình tại quận 1,Hãng khác,Dòng khác,2001,300000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124875419.htm
17,Bán xe ab đầu bò đen nhám,11.000.000 đ,36.71 tr,43.1 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",Dư xe .cần bán .có fix .mọi chức năng hoạt động bình thường. Khung sườn keng nội thất ko hoen rỉ mục nát .đinh tán còn sơn phết. Có chống trộm .chỉ có dàn áo trầy nhẹ theo năm tháng .miễn trung gian. Xe biển TP .mua bán công chứng giữa người mua bán giao cà vẹt,Honda,Air Blade,2023,70000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124836276.htm
18,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới,83.000.000 đ,42.75 tr,50.19 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","bán cup125 xe như mới đầy đủ phụ kiện theo xe mới 
( lấy xe đen mới mua đưa qua )
Do đổi xe đen nên nhượng lại xe xanh .chỉ để dành đi học . Cavet chính chủ bso đẹp có thể uỷ quyền cho khách đi thoải mái .fix nhẹ cho ae chung đam mê cup125",Honda,Cub,2022,8600,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124834252.htm
19,Vario đen,33.000.000 đ,30.13 tr,35.37 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","bán xe như ảnh chính chủ,uỷ quyền Lần 2 ,mua về chỉ đổ xăng là đi,nhớt,lọc gió mới thay 
lọc gió K&N bớt 500k cho người thiện chí mua
lưu ý : mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt 500k cho người thiện chí mua sử dụng,còn trả dưới giá e k bán đỡ mất thời gian đôi bên",Honda,Vario,2019,27000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124827600.htm
20,Cần bán xe vespa cũ 3vie 125 đời 2016 màu trắng,30.000.000 đ,25.09 tr,29.45 tr,"Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","Xe còn chạy tốt, do ít sử dụng nên bán lại
Khách thiện chí có thể thương lượng được giá tốt",Piaggio,Vespa,2016,23000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124798503.htm
21,Bán nhanh lẹ,65.000.000 đ,40.61 tr,47.67 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Hàng quốc dân , anh em ai cũng thích
Dễ chơi , dễ trải nghiệm

SH150 ý đời 2008 dọn full fom ý anh em nhìn hình đánh giá em bán nhanh gọn lẹ 6xxx tiểu học anh em dễ chơi ... Công chúng mua bán nhanh gọn lẹ sau khi giao dịch thành công em ở Q1 em Khanh lubu 9 tuổi ***",Honda,SH,2008,38000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124752818.htm
22,Honda Vision 2022 mới 99% màu xanh đen (nhám),29.900.000 đ,26.31 tr,30.89 tr,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","Honda vision
Đời : 2022
Giá : 29 tr 900k
- Hãng xe: honda
- Đăng kí : Bao rút hồ sơ,đảm bảo giấy tờ sang tên thoải mái
- Dung tích : 110cc phun xăng điện tử FI
- Màu : XANH ĐEN
- Cam kết: động cơ và máy nguyên zin, xe không đâm đụng,không ngập nước.",Honda,Vision,2022,2642,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124733300.htm
23,Wave S giá thương lượng,9.000.000 đ,8.28 tr,9.73 tr,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","- Xe nhà, ít dùng nên bán
- Lốp xe mới, ngoại hình còn mới, máy chạy êm
- Giá thương lượng cho khách thiện chí",Honda,Wave,2015,450000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124724507.htm
24,Do đổi xe cần sang xe,15.000.000 đ,7.94 tr,9.32 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",Bán xe wave RSX fi 2014 cần bán giữ kỹ chạy ít cho ai có nhu cầu cần thiết sử dụng nhanh gọn bớt chút lộc cho ai tới sớm,Honda,Wave,2014,6000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124718551.htm
25,honda CBR150,31.999.000 đ,72.21 tr,84.76 tr,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",Cần bán cbr150 năm 2019. Xe ít đi. Anh chị nào quan tâm xin liên lạc xem xe. Xin cảm ơn anh chị đã đọc tin!,Honda,CBR,2019,9999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124682486.htm
26,Không có nhu cầu chạy xe nhượng lại cho anh em cân,350.000.000 đ,322 tr,378 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","Xe Ít đi, anh em xem xe thì nhắn tin cho tôi trước.
Xem xe ở Vinhomes Central Park (Bình Thạnh, HCM)",KTM,1290 Super Duke R,2014,13000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124493960.htm
27,Bán xe Winner X 2019,19.000.000 đ,16.51 tr,19.38 tr,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Kẹt tiền cần bán gấp, xe mua cho con chạy mà giờ nhóc đi làm nước ngoài ko ai chạy , em cần bán lại. Xe còn mới 90% , bao tranh chấp",Honda,Winner X,2019,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124551814.htm
28,Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt,7.000.000 đ,5.96 tr,6.99 tr,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt, xe nữ đi nên máy còn chạy rất êm
Lh: ***",Honda,SCR,2010,15000,Đã sử dụng,Tay ga,100 - 175 cc,Trung Quốc,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124545163.htm
29,Cần bán hayate máy êm bstp,4.300.000 đ,3.6 tr,4.23 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe bao tranh chấp 
Máy êm 
Biển thành phố
Mua về là sử dụng
Thích hợp cho anh em đi làm 
Giao dịch trực tiếp quận 5 tphcm",Suzuki,Hayate,2011,55000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124494161.htm
30,"cần bán Ex155 chính chủ, bstp.",32.000.000 đ,28.79 tr,33.8 tr,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Xe Bstp, sang tên, hay uỷ quyền đều được. Xem xe tại q.1. Lh sdt/zalo: ***",Yamaha,Exciter,2022,48364,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124448702.htm
31,ban xe,12.500.000 đ,10.39 tr,12.2 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe nhà đang đi,đời 2018 chính chủ,máy nguyên zin,giá 12trieu500",Honda,Wave,2018,30000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124366130.htm
32,"SH150i 2022 ABS, CHÍNH CHỦ CẦN BÁN",87.000.000 đ,74.57 tr,87.54 tr,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","🏍️ BÁN XE SH 150i ABS – XE CHÍNH CHỦ ĐỎ ĐẸP NHƯ MỚI, BIỂN SỐ THÀNH PHỐ 🏍️
💰 Giá: 87.000.000đ 
📍 Xe tại: Vũng Tàu

📌 Thông tin xe:

Dòng xe: Honda SH 150i ABS

Màu: Đỏ đô sang trọng

Đăng ký: Tháng 11/2022

Odo: 9.500 km

Biển số thành phố

Tình trạng: Xe chính chủ, đi rất ít, giữ kỹ như mới, chưa từng ngập nước hay đâm đụng

Máy móc zin nguyên bản 100%

🛠️ Xe phù hợp cho anh/chị cần một chiếc tay ga cao cấp, đi êm – kiểu dáng sang trọng – giá hợp lý so với xe mới.",Honda,SH,2022,9500,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124075459.htm
33,Cần bán xe Vespa Primaria 2019 iget,43.000.000 đ,8.99 tr,10.55 tr,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","Xe nữ đi lại, máy còn mới, biển số sài gòn đẹp",Hãng khác,Dòng khác,2019,5000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124255278.htm
34,Giao dịch tận nhà . Cần giấy tay thì thì manb giấy,3.200.000 đ,3.11 tr,3.66 tr,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",Xe cũ . Ko chạy đã lâu . Giấy tờ đầy đủ. Cần giấy tay thì mang giấy và viết,SYM,Attila,2009,10000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124233989.htm
35,"Xe nha ,ich su dung tinh trang xe hoan hao .",21.000.000 đ,13.05 tr,15.32 tr,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","Xe piaggio ,tât ca ðêu hoat ðông rât tôt xe không thây phu tung tât ca chinh hang",Piaggio,Zip,2019,8000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124134884.htm
36,"Cần bán xe Sh 150i VN, thắng cbs màu đen nhám",70.000.000 đ,65.71 tr,77.13 tr,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh","Xe nhà đi kỹ, có trầy theo năm tháng. Xe chính chủ ( ko phải cửa hàng mua bán hay trung gian)
Mẫu 2019, đăng ký t1.2020, chiếc cuối cùng ở Sg, xe màu đen nhám. Máy móc chưa bung. Xe vừa thay ngớt, dây coro, bình, nước mát.
Xem xe tại quận 7.
Ko bán cho Ac cửa hàng hay mô giới. Xe chính chủ đăng ký .",Honda,SH,2020,52000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124102728.htm
37,giấy tờ đầy đủ biển 70,10.800.000 đ,16.31 tr,19.14 tr,"Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",Ngoại hình đẹp - Áo new tem 110 - Phuộc Nice - Cdn nhôm - Võ mới - Rổ Thái - Choá bọng full mới - Máy móc êm nhẹ full chức năng - giấy tờ đầy đủ biển 7”,Honda,Wave,2024,500,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124018696.htm
38,R15.v3 Đen nhám,35.500.000 đ,31.06 tr,36.46 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","Tình hình là lên cc nên nhượng lại đam mê cho anh em chơi. Xe mình bảo dưỡng định kỳ 3 tháng lần, thay dầu 1.5k km/bình. Mới vào 1 số đồ chơi:
- Phuộc Nitro bình dầu
- Chống đổ sườn
- Pô lon SC (có gắn tiêu)
- Trợ lực fullpass CNC vàng
- Đèn bi cầu trợ sáng Kenzo
- Chắn bùn
- Giá đỡ điện thoại
- Gương cánh gió + xi-nhan (tặng thêm cặp kính zin)
- Túi đựng đồ + pat trên bình xăng.
Bắng này đồ chơi găn thêm cộng bảo dưỡng thường xuyên, nên anh em đừng ép giá nhé.",Yamaha,R,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124017485.htm
39,CHÍNH CHỦ BÁN XE CHÍNH HANG XE PHÁP,49.000.000 đ,33.12 tr,38.88 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","- Hãng xe Pháp nổi tiếng hình Sư tử (PeuGeot)
- Xe đăng ký năm 2021 (2022 và 2023 dính Covid nên xe chạy rất ít) và Nữ chạy cẩn thânh nên còn rất mới, máy móc zin
- Thời gian sử dụng thực tế chưa tới 2 năm
- Giấy tờ Chính Chủ",Peugeot,Django,2021,1363,Đã sử dụng,Tay ga,50 - 100 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/122246811.htm
40,Click Thái 125 Trắng 2015,64.999.999 đ,43.42 tr,50.97 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe gốc Phú Nhuận, chủ chạy kỹ, ngoại hình đẹp tưng, máy móc chưa chỉnh sửa.
ODO 25k km, ko tua.
Máy móc, phanh nhớt đã được kiểm tra, vệ sinh, bảo dưỡng.

Bao công chứng, giấy tờ hợp lệ
—-
Liên hệ: a Nhựt (Nguyễn Cư Trinh)
SDT: ***",Honda,Click,2015,25000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123981168.htm
41,BÁN XE NHÀ,11.500.000 đ,7.98 tr,9.37 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","Do mới mua xe mới nên em cho ra đi bé này
-Lead 110 cuối 2012, đá chống tắt máy
-Ngoại hình đẹp lung linh 
-Máy móc bao êm 
-Chính chủ ký giấy
Xe em chạy hàng ngày nên anh chị em yên tâm, dư dùng em mới bán, nhà gần Chùa ko nói dóc😄

Anh chị em cần xe Ib hoặc alo *** (mua liền bớt lộc chút đỉnh)",Honda,Lead,2012,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123950899.htm
42,honda future 2022,23.000.000 đ,24.04 tr,28.22 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe mình đang đứng ủy quyền 
Date cao 2022 
Nhận giao lưu với xe ga cho vợ mình 
Xem xe tại quận 1 sau giờ hành Chánh",Honda,Dòng khác,2022,120000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123874874.htm
43,Wave@ 2018,12.800.000 đ,8.25 tr,9.68 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Hàng về anh chị nào cần xe đi làm đi cày bừa hú em

- Wave@ 2018 , Bstp chính chủ
- Máy móc nguyên êm zin 

Dá : 12tr800 (Bớt lộc)
Call : ***",Honda,@,2018,1,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123864708.htm
44,xe nhà đi ko dùng nữa ai cần ib ạ,4.300.000 đ,2.15 tr,2.53 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",có trầy theo năm tháng .. máy móc êm . chạy thoải mái về quê bình thường,SYM,Attila,2004,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123826379.htm
