id,title,description,Dòng xe,description_cleaned,title_cleaned,content
11,Bán gấp Kawasaki gpz400 1973,"Xe zin keng, rất đẹp, có giá trị trưng bày và sưu tầm cao, xem xe ở q1 hcm",Dòng khác,zin keng đẹp trưng_bày sưu_tầm q1 hcm,gấp kawasaki gpz400 1973,zin keng đẹp trưng_bày sưu_tầm q1 hcm gấp kawasaki gpz400 1973
12,SH Ý Zin,"Ai có nhu cầu mua xe liên hệ sdt.
Xem xe trực tiếp quận 1,hcm",SH,nhu_cầu mua liên_hệ sdt hcm,sh zin,nhu_cầu mua liên_hệ sdt hcm sh zin
13,Bán xe Wolf 125cc,"- Tình trạng đồ zin còn 80%, có độ cafe nhẹ
- Máy êm, mạnh, nổ thì thầm
- Hệ thống đèn còi xi nhan còn hoạt động tốt
- Biển số tp, dễ nhìn
- Chia sẽ cho AE cùng đam mê
- Xem xe Quận 1 hoặc Tân Bình( buổi tối)
Cảm ơn chợ tốt đã duyệt tin.",Wolf,đồ zin 80 độ cafe nhẹ máy êm nổ thì_thầm hệ_thống đèn còi xi_nhan hoạt_động tốt biển tp chia anh_em đam_mê tân_bình tối chợ tốt duyệt,wolf 125cc,đồ zin 80 độ cafe nhẹ máy êm nổ thì_thầm hệ_thống đèn còi xi_nhan hoạt_động tốt biển tp chia anh_em đam_mê tân_bình tối chợ tốt duyệt wolf 125cc
14,Ex zin 2014 xuống áo Ngay chủ,"Ex 2014 ,máy zin ,nhẹ ,xe xuống áo chuẩn .bstp.xe ngay mình đứng tên. Ae mau lẹ bớt lộc .lh 177 ky con phuong nguyên Thái Bình q.1
### Bạn nào có ab hoac lead trao đổi bù trừ tuy theo đời xe nhé ###",Exciter,ex 2014 máy zin nhẹ áo chuẩn bstp đứng_tên anh_em mau_lẹ bớt lộc lh 177 ky phuong nguyên thái_bình ab hoac lead trao_đổi bù_trừ đời,ex zin 2014 áo chủ,ex 2014 máy zin nhẹ áo chuẩn bstp đứng_tên anh_em mau_lẹ bớt lộc lh 177 ky phuong nguyên thái_bình ab hoac lead trao_đổi bù_trừ đời ex zin 2014 áo chủ
15,siêu lướt như mới dính pháp lý hôn nhân,"Vario 160 2024
Xe nhà ít đi siêu lướt siêu mới
Dính pháp lý hôn nhân chính chủ ghi giấy tay kèm cccd",Vario,vario 160 2024 đi siêu lướt siêu dính pháp_lý hôn_nhân chủ ghi giấy kèm cccd,siêu lướt dính pháp_lý hôn_nhân,vario 160 2024 đi siêu lướt siêu dính pháp_lý hôn_nhân chủ ghi giấy kèm cccd siêu lướt dính pháp_lý hôn_nhân
16,Xe Vespa paggio xanh,Cần bán xe vespa xanh ngọc như hình tại quận 1,Dòng khác,vespa xanh ngọc hình,vespa paggio xanh,vespa xanh ngọc hình vespa paggio xanh
17,Bán xe ab đầu bò đen nhám,Dư xe .cần bán .có fix .mọi chức năng hoạt động bình thường. Khung sườn keng nội thất ko hoen rỉ mục nát .đinh tán còn sơn phết. Có chống trộm .chỉ có dàn áo trầy nhẹ theo năm tháng .miễn trung gian. Xe biển TP .mua bán công chứng giữa người mua bán giao cà vẹt,Air Blade,dư fix chức_năng hoạt_động bình_thường khung sườn keng nội_thất không hoen_rỉ mục_nát đinh_tán sơn phết chống trộm dàn áo trầy nhẹ miễn trung_gian biển tp mua_bán_công_chứng mua_bán giao cà_vẹt,ab đầu_bò đen nhám,dư fix chức_năng hoạt_động bình_thường khung sườn keng nội_thất không hoen_rỉ mục_nát đinh_tán sơn phết chống trộm dàn áo trầy nhẹ miễn trung_gian biển tp mua_bán_công_chứng mua_bán giao cà_vẹt ab đầu_bò đen nhám
18,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới,"bán cup125 xe như mới đầy đủ phụ kiện theo xe mới 
( lấy xe đen mới mua đưa qua )
Do đổi xe đen nên nhượng lại xe xanh .chỉ để dành đi học . Cavet chính chủ bso đẹp có thể uỷ quyền cho khách đi thoải mái .fix nhẹ cho ae chung đam mê cup125",Cub,cup125 đầy_đủ phụ_kiện đen mua đổi đen nhượng xanh để_dành đi học cavet chủ bso đẹp uỷ_quyền đi thoải_mái fix nhẹ anh_em đam_mê cup125,cup125 đầy_đủ phụ_kiện,cup125 đầy_đủ phụ_kiện đen mua đổi đen nhượng xanh để_dành đi học cavet chủ bso đẹp uỷ_quyền đi thoải_mái fix nhẹ anh_em đam_mê cup125 cup125 đầy_đủ phụ_kiện
19,Vario đen,"bán xe như ảnh chính chủ,uỷ quyền Lần 2 ,mua về chỉ đổ xăng là đi,nhớt,lọc gió mới thay 
lọc gió K&N bớt 500k cho người thiện chí mua
lưu ý : mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt 500k cho người thiện chí mua sử dụng,còn trả dưới giá e k bán đỡ mất thời gian đôi bên",Vario,ảnh chủ uỷ_quyền mua đổ xăng đi nhớt lọc gió thay lọc gió không bớt 500k thiện_chí mua lưu_ý mấy cò vạc khướu tu_hú đăng đừng trả_giá dìm bớt 500k thiện_chí mua giá không đỡ đôi,vario đen,ảnh chủ uỷ_quyền mua đổ xăng đi nhớt lọc gió thay lọc gió không bớt 500k thiện_chí mua lưu_ý mấy cò vạc khướu tu_hú đăng đừng trả_giá dìm bớt 500k thiện_chí mua giá không đỡ đôi vario đen
20,Cần bán xe vespa cũ 3vie 125 đời 2016 màu trắng,"Xe còn chạy tốt, do ít sử dụng nên bán lại
Khách thiện chí có thể thương lượng được giá tốt",Vespa,chạy tốt thiện_chí thương_lượng giá tốt,vespa cũ 3vie 125 đời 2016 màu trắng,chạy tốt thiện_chí thương_lượng giá tốt vespa cũ 3vie 125 đời 2016 màu trắng
21,Bán nhanh lẹ,"Hàng quốc dân , anh em ai cũng thích
Dễ chơi , dễ trải nghiệm

SH150 ý đời 2008 dọn full fom ý anh em nhìn hình đánh giá em bán nhanh gọn lẹ 6xxx tiểu học anh em dễ chơi ... Công chúng mua bán nhanh gọn lẹ sau khi giao dịch thành công em ở Q1 em Khanh lubu 9 tuổi ***",SH,hàng quốc dân anh_em thích trải nghiệm sh150 đời 2008 dọn full fom anh_em hình gọn lẹ 6xxx tiểu_học anh_em ... công_chúng mua_bán gọn lẹ giao_dịch thành_công q1 khanh lubu,lẹ,hàng quốc dân anh_em thích trải nghiệm sh150 đời 2008 dọn full fom anh_em hình gọn lẹ 6xxx tiểu_học anh_em ... công_chúng mua_bán gọn lẹ giao_dịch thành_công q1 khanh lubu lẹ
22,Honda Vision 2022 mới 99% màu xanh đen (nhám),"Honda vision
Đời : 2022
Giá : 29 tr 900k
- Hãng xe: honda
- Đăng kí : Bao rút hồ sơ,đảm bảo giấy tờ sang tên thoải mái
- Dung tích : 110cc phun xăng điện tử FI
- Màu : XANH ĐEN
- Cam kết: động cơ và máy nguyên zin, xe không đâm đụng,không ngập nước.",Vision,honda vision đời 2022 giá 29 tr 900k hãng honda đăng_kí bao rút hồ_sơ giấy_tờ sang_tên thoải_mái dung_tích 110cc phun xăng điện_tử fi màu xanh đen cam_kết động_cơ máy nguyên zin không đâm đụng không ngập,honda vision 2022 99 màu xanh đen nhám,honda vision đời 2022 giá 29 tr 900k hãng honda đăng_kí bao rút hồ_sơ giấy_tờ sang_tên thoải_mái dung_tích 110cc phun xăng điện_tử fi màu xanh đen cam_kết động_cơ máy nguyên zin không đâm đụng không ngập honda vision 2022 99 màu xanh đen nhám
23,Wave S giá thương lượng,"- Xe nhà, ít dùng nên bán
- Lốp xe mới, ngoại hình còn mới, máy chạy êm
- Giá thương lượng cho khách thiện chí",Wave,lốp ngoại_hình máy chạy_êm giá thương_lượng thiện_chí,wave giá thương_lượng,lốp ngoại_hình máy chạy_êm giá thương_lượng thiện_chí wave giá thương_lượng
24,Do đổi xe cần sang xe,Bán xe wave RSX fi 2014 cần bán giữ kỹ chạy ít cho ai có nhu cầu cần thiết sử dụng nhanh gọn bớt chút lộc cho ai tới sớm,Wave,wave rsx fi 2014 kỹ chạy nhu_cầu cần_thiết gọn bớt chút lộc,đổi,wave rsx fi 2014 kỹ chạy nhu_cầu cần_thiết gọn bớt chút lộc đổi
25,honda CBR150,Cần bán cbr150 năm 2019. Xe ít đi. Anh chị nào quan tâm xin liên lạc xem xe. Xin cảm ơn anh chị đã đọc tin!,CBR,cbr150 2019 đi anh_chị liên_lạc anh_chị đọc,honda cbr150,cbr150 2019 đi anh_chị liên_lạc anh_chị đọc honda cbr150
26,Không có nhu cầu chạy xe nhượng lại cho anh em cân,"Xe Ít đi, anh em xem xe thì nhắn tin cho tôi trước.
Xem xe ở Vinhomes Central Park (Bình Thạnh, HCM)",1290 Super Duke R,đi anh_em nhắn_tin vinhomes central park bình_thạnh hcm,không nhu_cầu chạy nhượng anh_em cân,đi anh_em nhắn_tin vinhomes central park bình_thạnh hcm không nhu_cầu chạy nhượng anh_em cân
27,Bán xe Winner X 2019,"Kẹt tiền cần bán gấp, xe mua cho con chạy mà giờ nhóc đi làm nước ngoài ko ai chạy , em cần bán lại. Xe còn mới 90% , bao tranh chấp",Winner X,kẹt tiền gấp mua con_chạy nhóc đi nước_ngoài không chạy 90 bao tranh_chấp,winner 2019,kẹt tiền gấp mua con_chạy nhóc đi nước_ngoài không chạy 90 bao tranh_chấp winner 2019
28,Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt,"Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt, xe nữ đi nên máy còn chạy rất êm
Lh: ***",SCR,ga honda scr đời_đầu 2010 chạy tốt nữ đi máy chạy êm lh,ga honda scr đời_đầu 2010 chạy tốt,ga honda scr đời_đầu 2010 chạy tốt nữ đi máy chạy êm lh ga honda scr đời_đầu 2010 chạy tốt
29,Cần bán hayate máy êm bstp,"Xe bao tranh chấp 
Máy êm 
Biển thành phố
Mua về là sử dụng
Thích hợp cho anh em đi làm 
Giao dịch trực tiếp quận 5 tphcm",Hayate,bao tranh_chấp máy_êm biển thành_phố mua thích_hợp anh_em đi giao_dịch thành_phố hồ chí minh,hayate máy êm bstp,bao tranh_chấp máy_êm biển thành_phố mua thích_hợp anh_em đi giao_dịch thành_phố hồ chí minh hayate máy êm bstp
30,"cần bán Ex155 chính chủ, bstp.","Xe Bstp, sang tên, hay uỷ quyền đều được. Xem xe tại q.1. Lh sdt/zalo: ***",Exciter,bstp sang_tên uỷ_quyền lh sdt zalo,ex155 chủ bstp,bstp sang_tên uỷ_quyền lh sdt zalo ex155 chủ bstp
31,ban xe,"Xe nhà đang đi,đời 2018 chính chủ,máy nguyên zin,giá 12trieu500",Wave,đi đời 2018 chủ máy nguyên zin giá 12trieu500,ban,đi đời 2018 chủ máy nguyên zin giá 12trieu500 ban
32,"SH150i 2022 ABS, CHÍNH CHỦ CẦN BÁN","🏍️ BÁN XE SH 150i ABS – XE CHÍNH CHỦ ĐỎ ĐẸP NHƯ MỚI, BIỂN SỐ THÀNH PHỐ 🏍️
💰 Giá: 87.000.000đ 
📍 Xe tại: Vũng Tàu

📌 Thông tin xe:

Dòng xe: Honda SH 150i ABS

Màu: Đỏ đô sang trọng

Đăng ký: Tháng 11/2022

Odo: 9.500 km

Biển số thành phố

Tình trạng: Xe chính chủ, đi rất ít, giữ kỹ như mới, chưa từng ngập nước hay đâm đụng

Máy móc zin nguyên bản 100%

🛠️ Xe phù hợp cho anh/chị cần một chiếc tay ga cao cấp, đi êm – kiểu dáng sang trọng – giá hợp lý so với xe mới.",SH,sh 150i abs chủ đỏ đẹp biển thành_phố giá 87.000.000 vũng_tàu thông_tin dòng honda sh 150i abs màu đỏ đô sang_trọng đăng_ký 11 2022 odo 9.500 km biển thành_phố chủ đi kỹ ngập đâm_đụng máy_móc zin nguyên_bản 100 ga cao_cấp đi êm kiểu_dáng sang_trọng giá hợp_lý,sh150i 2022 abs chủ,sh 150i abs chủ đỏ đẹp biển thành_phố giá 87.000.000 vũng_tàu thông_tin dòng honda sh 150i abs màu đỏ đô sang_trọng đăng_ký 11 2022 odo 9.500 km biển thành_phố chủ đi kỹ ngập đâm_đụng máy_móc zin nguyên_bản 100 ga cao_cấp đi êm kiểu_dáng sang_trọng giá hợp_lý sh150i 2022 abs chủ
33,Cần bán xe Vespa Primaria 2019 iget,"Xe nữ đi lại, máy còn mới, biển số sài gòn đẹp",Dòng khác,nữ đi_lại máy biển đẹp,vespa primaria 2019 iget,nữ đi_lại máy biển đẹp vespa primaria 2019 iget
34,Giao dịch tận nhà . Cần giấy tay thì thì manb giấy,Xe cũ . Ko chạy đã lâu . Giấy tờ đầy đủ. Cần giấy tay thì mang giấy và viết,Attila,cũ không chạy giấy_tờ đầy_đủ giấy giấy viết,giao_dịch tận giấy manb giấy,cũ không chạy giấy_tờ đầy_đủ giấy giấy viết giao_dịch tận giấy manb giấy
35,"Xe nha ,ich su dung tinh trang xe hoan hao .","Xe piaggio ,tât ca ðêu hoat ðông rât tôt xe không thây phu tung tât ca chinh hang",Zip,piaggio tât ca ðêu hoat ðông rât tôt không thây phu tung tât ca chinh hang,nha ich su dung tinh trang hoan hao,piaggio tât ca ðêu hoat ðông rât tôt không thây phu tung tât ca chinh hang nha ich su dung tinh trang hoan hao
36,"Cần bán xe Sh 150i VN, thắng cbs màu đen nhám","Xe nhà đi kỹ, có trầy theo năm tháng. Xe chính chủ ( ko phải cửa hàng mua bán hay trung gian)
Mẫu 2019, đăng ký t1.2020, chiếc cuối cùng ở Sg, xe màu đen nhám. Máy móc chưa bung. Xe vừa thay ngớt, dây coro, bình, nước mát.
Xem xe tại quận 7.
Ko bán cho Ac cửa hàng hay mô giới. Xe chính chủ đăng ký .",SH,đi kỹ trầy chủ không cửa_hàng mua_bán trung_gian mẫu 2019 đăng_ký t1 2020 màu đen nhám máy_móc bung thay ngớt dây coro bình mát không ac cửa_hàng mô giới chủ đăng_ký,sh 150i việt_nam thắng cbs màu đen nhám,đi kỹ trầy chủ không cửa_hàng mua_bán trung_gian mẫu 2019 đăng_ký t1 2020 màu đen nhám máy_móc bung thay ngớt dây coro bình mát không ac cửa_hàng mô giới chủ đăng_ký sh 150i việt_nam thắng cbs màu đen nhám
37,giấy tờ đầy đủ biển 70,Ngoại hình đẹp - Áo new tem 110 - Phuộc Nice - Cdn nhôm - Võ mới - Rổ Thái - Choá bọng full mới - Máy móc êm nhẹ full chức năng - giấy tờ đầy đủ biển 7”,Wave,ngoại_hình đẹp áo new tem 110 phuộc nice cdn nhôm võ rổ thái choá bọng full máy_móc êm nhẹ full chức_năng giấy_tờ đầy_đủ biển,giấy_tờ đầy_đủ biển 70,ngoại_hình đẹp áo new tem 110 phuộc nice cdn nhôm võ rổ thái choá bọng full máy_móc êm nhẹ full chức_năng giấy_tờ đầy_đủ biển giấy_tờ đầy_đủ biển 70
38,R15.v3 Đen nhám,"Tình hình là lên cc nên nhượng lại đam mê cho anh em chơi. Xe mình bảo dưỡng định kỳ 3 tháng lần, thay dầu 1.5k km/bình. Mới vào 1 số đồ chơi:
- Phuộc Nitro bình dầu
- Chống đổ sườn
- Pô lon SC (có gắn tiêu)
- Trợ lực fullpass CNC vàng
- Đèn bi cầu trợ sáng Kenzo
- Chắn bùn
- Giá đỡ điện thoại
- Gương cánh gió + xi-nhan (tặng thêm cặp kính zin)
- Túi đựng đồ + pat trên bình xăng.
Bắng này đồ chơi găn thêm cộng bảo dưỡng thường xuyên, nên anh em đừng ép giá nhé.",R,tình_hình cc nhượng đam_mê anh_em bảo_dưỡng định_kỳ thay dầu 1.5 km bình đồ_chơi phuộc nitro bình_dầu chống đổ sườn pô lon sc gắn tiêu trợ_lực fullpass cnc vàng đèn bi cầu trợ kenzo chắn_bùn giá đỡ điện_thoại gương cánh gió xi nhan tặng cặp kính zin túi đựng đồ pat bình xăng bắng đồ_chơi găn cộng bảo_dưỡng thường_xuyên anh_em đừng ép_giá,r15 v3 đen nhám,tình_hình cc nhượng đam_mê anh_em bảo_dưỡng định_kỳ thay dầu 1.5 km bình đồ_chơi phuộc nitro bình_dầu chống đổ sườn pô lon sc gắn tiêu trợ_lực fullpass cnc vàng đèn bi cầu trợ kenzo chắn_bùn giá đỡ điện_thoại gương cánh gió xi nhan tặng cặp kính zin túi đựng đồ pat bình xăng bắng đồ_chơi găn cộng bảo_dưỡng thường_xuyên anh_em đừng ép_giá r15 v3 đen nhám
39,CHÍNH CHỦ BÁN XE CHÍNH HANG XE PHÁP,"- Hãng xe Pháp nổi tiếng hình Sư tử (PeuGeot)
- Xe đăng ký năm 2021 (2022 và 2023 dính Covid nên xe chạy rất ít) và Nữ chạy cẩn thânh nên còn rất mới, máy móc zin
- Thời gian sử dụng thực tế chưa tới 2 năm
- Giấy tờ Chính Chủ",Django,hãng pháp nổi_tiếng hình sư_tử peugeot đăng_ký 2021 2022 2023 dính covid chạy nữ chạy cẩn thânh máy_móc zin giấy_tờ chủ,chủ hang pháp,hãng pháp nổi_tiếng hình sư_tử peugeot đăng_ký 2021 2022 2023 dính covid chạy nữ chạy cẩn thânh máy_móc zin giấy_tờ chủ chủ hang pháp
40,Click Thái 125 Trắng 2015,"Xe gốc Phú Nhuận, chủ chạy kỹ, ngoại hình đẹp tưng, máy móc chưa chỉnh sửa.
ODO 25k km, ko tua.
Máy móc, phanh nhớt đã được kiểm tra, vệ sinh, bảo dưỡng.

Bao công chứng, giấy tờ hợp lệ
—-
Liên hệ: a Nhựt (Nguyễn Cư Trinh)
SDT: ***",Click,gốc phú nhuận chủ chạy kỹ ngoại_hình đẹp tưng máy_móc chỉnh_sửa odo 25k km không tua máy_móc phanh nhớt kiểm_tra vệ_sinh bảo_dưỡng bao công_chứng giấy_tờ hợp_lệ liên_hệ nhựt nguyễn cư trinh sdt,click thái 125 trắng 2015,gốc phú nhuận chủ chạy kỹ ngoại_hình đẹp tưng máy_móc chỉnh_sửa odo 25k km không tua máy_móc phanh nhớt kiểm_tra vệ_sinh bảo_dưỡng bao công_chứng giấy_tờ hợp_lệ liên_hệ nhựt nguyễn cư trinh sdt click thái 125 trắng 2015
41,BÁN XE NHÀ,"Do mới mua xe mới nên em cho ra đi bé này
-Lead 110 cuối 2012, đá chống tắt máy
-Ngoại hình đẹp lung linh 
-Máy móc bao êm 
-Chính chủ ký giấy
Xe em chạy hàng ngày nên anh chị em yên tâm, dư dùng em mới bán, nhà gần Chùa ko nói dóc😄

Anh chị em cần xe Ib hoặc alo *** (mua liền bớt lộc chút đỉnh)",Lead,mua đi bé lead 110 2012 đá chống tắt_máy ngoại_hình đẹp lung_linh máy_móc bao_êm chủ ký giấy chạy hàng anh_chị_em yên_tâm dư chùa không nói_dóc cười anh_chị_em inbox alo mua liền bớt lộc chút_đỉnh,,mua đi bé lead 110 2012 đá chống tắt_máy ngoại_hình đẹp lung_linh máy_móc bao_êm chủ ký giấy chạy hàng anh_chị_em yên_tâm dư chùa không nói_dóc cười anh_chị_em inbox alo mua liền bớt lộc chút_đỉnh 
42,honda future 2022,"Xe mình đang đứng ủy quyền 
Date cao 2022 
Nhận giao lưu với xe ga cho vợ mình 
Xem xe tại quận 1 sau giờ hành Chánh",Dòng khác,đứng ủy_quyền date 2022 giao_lưu ga vợ hành chánh,honda future 2022,đứng ủy_quyền date 2022 giao_lưu ga vợ hành chánh honda future 2022
